,Genus,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,MaxCompletion,Group,Type
1007,TMED123,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0.25,Bacteroidota,MAG
1008,TMED126,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.25,0,0,0.75,Dadabacteria,MAG
1009,TMED13,0,1,1,0,0,1,0,1,0,0.5,0.25,0.75,0.5,0,0.333333333333333,0.75,Alpha-Other,MAG
1010,TMED131,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Alpha-Other,MAG
1011,TMED14,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0.333333333333333,0.333333333333333,Bacteroidota,MAG
1012,TMED15,1,0,0,1,1,1,0,0,1,0.75,1,0.5,0.75,0.666666666666667,0.333333333333333,1,Bacteria-Other,MAG
1013,TMED161,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1014,TMED167,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Alpha-Other,MAG
1015,TMED189,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,Actinobacteriota,MAG
1016,TMED198,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1017,TMED2,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Alpha-Other,MAG
1018,TMED211,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.25,0,0,0.75,Alpha-Other,MAG
1019,TMED23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpha-Other,MAG
1020,TMED25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alpha-Other,MAG
1021,TMED26,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Alpha-Other,MAG
1022,TMED27,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
1023,TMED48,0,1,1,0,1,0,0,1,0,0.25,0,0.75,0.25,0,0.333333333333333,0.75,Gamma-Other,MAG
1024,TMED54,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0,0,0,0.75,Alpha-Other,MAG
1025,TMED58,0,1,0,0,0,0,0,1,1,0.25,0.25,0.5,0.25,0.333333333333333,0.333333333333333,0.5,Dadabacteria,MAG
1026,TMED6,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1027,TMED62,0,1,1,0,1,0,0,1,0,0.25,0,0.75,0.25,0,0.333333333333333,0.75,Alpha-Other,MAG
1028,TMED69,0,1,1,0,1,0,0,1,0,0.25,0,0.75,0.25,0,0.333333333333333,0.75,Gamma-Other,MAG
1029,TMED78,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Gamma-Other,MAG
1030,TMED8,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Alpha-Other,MAG
1031,TMED80,0,1,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0.333333333333333,0.333333333333333,Marinisomatota,MAG
1032,TMED96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidota,MAG
1033,TMED96_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidota,MAG
1034,Tamilnaduibacter,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Gamma-Other,MAG
1035,Tenacibaculum,0,1,0,0,0,0,0,0,1,0,0.25,0.25,0.25,0.333333333333333,0.333333333333333,0.333333333333333,Bacteroidota,MAG
1036,Tepidibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,MAG
1037,Tepidicaulis,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
1038,Terasakiispira,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Gamma-Other,MAG
1039,Teredinibacter,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Gamma-Other,MAG
1040,Terribacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,MAG
1041,Thalassarchaeum,0,1,1,0,1,1,0,1,0,0.5,0.25,1,0.5,0,0.333333333333333,1,Archaea-Poseidoniia MGIIb,MAG
1042,Thalassobacter,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1043,Thalassobaculum,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
1044,Thalassobius,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1045,Thalassococcus,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
